ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity,response_time,YEAR,MONTH,_id,PROV_ID,PROV_T,MinRain,MaxRain,AvgRain
2021-FYJTFP,{ความสะอาด},เขตบางซื่อ,ขยะเยอะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-09/3063e748259afbb7171467e19b92e9cc1f1a5826.jpg,,"100.53084,13.81865",12/14 ถนน กรุงเทพ- นนทบุรี แขวง บางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,,,กรุงเทพมหานคร,2021-09-03 12:51:09.453003+00:00,เสร็จสิ้น,,0,2022-06-04 15:34:14.609206+00:00,274 days 02:43:05.156203,2021,9,3389.0,10.0,กรุงเทพมหานคร,228.0800018,500.2000122,357.7794502
2021-CGPMUN,"{น้ำท่วม,ร้องเรียน}","เขตประเวศ,ฝ่ายโยธา เขตประเวศ",น้ำท่วมเวลาฝนตกและทะลุเข้าบ้านเดือดร้อนมากทุกๆปีจะมีเครื่องสูบน้ำแต่ปีนี้ไม่มีกทม.ปล่อยทิ้ง ชุมชนเคหะนคร1แปลง2(ซ.เฉลิมพระเกียรติร.9ซอง22 วัดตะกล่ำ ประเวศ),https://storage.googleapis.com/traffy_public_bucket/attachment/2021-09/41ef2b1b465b708db17363a6d5fd8c5336266df7.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/b562e36f971f02221bd0f32b7272eb1ea516cacf.jpg,"100.66709,13.67891",189 เฉลิมพระเกียรติ ร.9 แขวง หนองบอน เขต ประเวศ กรุงเทพมหานคร 10250 ประเทศไทย,หนองบอน,ประเวศ,กรุงเทพมหานคร,2021-09-19 14:56:08.924992+00:00,เสร็จสิ้น,4.0,0,2022-06-21 08:21:09.532782+00:00,274 days 17:25:00.607790,2021,9,3389.0,10.0,กรุงเทพมหานคร,228.0800018,500.2000122,357.7794502
2021-7XATFA,{สะพาน},เขตสาทร,"สะพานลอยปรับปรุงไม่เสร็จตามกำหนด
ปากซอย สาทร12",https://storage.googleapis.com/traffy_public_bucket/attachment/2021-09/b0b738c84fb0d0b0bfd5c5ac004492eb6fde19c3.jpg,,"100.52649,13.72060",191/1 ถนน สาทรเหนือ แขวง สีลม เขตบางรัก กรุงเทพมหานคร 10500 ประเทศไทย,ยานนาวา,สาทร,กรุงเทพมหานคร,2021-09-26 05:03:52.594898+00:00,เสร็จสิ้น,,0,2022-06-06 01:17:12.272904+00:00,252 days 20:13:19.678006,2021,9,3389.0,10.0,กรุงเทพมหานคร,228.0800018,500.2000122,357.7794502
2021-9U2NJT,{น้ำท่วม},"เขตบางซื่อ,ฝ่ายโยธา เขตบางซื่อ",น้ำท่วม,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-10/5a36fa060eb2a750e3ff47cdd30307f4639f445e.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/7739f2143dfff32905f68fbf7b11537e1a7b447d.jpg,"100.53099,13.81853",12/14 ถนน กรุงเทพ- นนทบุรี แขวง บางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,,,กรุงเทพมหานคร,2021-10-14 10:45:27.713884+00:00,เสร็จสิ้น,,0,2022-09-08 08:35:43.784519+00:00,328 days 21:50:16.070635,2021,10,3466.0,10.0,กรุงเทพมหานคร,151.5599976,326.9100037,221.3111841
2021-DVEWYM,"{น้ำท่วม,ถนน}","เขตลาดพร้าว,ฝ่ายโยธา เขตลาดพร้าว","ซอยลาดพร้าววังหิน 75 ถนนลาดพร้าววังหิน แขวงลาดพร้าว เขตลาดพร้าว

1. หลังจากฝนตกต่อเนื่องประมาณ 30 นาที น้ำท่วมซอยสูงประมาณ 20 ซม ใช้เวลาระบายราวๆ 3-5 ชม. กว่าน้ำในซอยแห้ง
หากฝนตกนานกว่า 1 ชม  ใช้เวลา 2-3 วัน กว่าน้ำในซอยแห้ง
หากนานกว่านั้น ต้นซอยน้ำแห้ง ปลายซอยน้ำเน่า",https://storage.googleapis.com/traffy_public_bucket/attachment/2021-12/6b71a10f77a724a6151180eb5eb5bb0fc1500ce9.jpg,,"100.59165,13.82280",702 ถ. ลาดพร้าววังหิน แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230 ประเทศไทย,ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,2021-12-09 12:29:08.408763+00:00,เสร็จสิ้น,5.0,0,2022-08-12 07:18:44.884945+00:00,245 days 18:49:36.476182,2021,12,3620.0,10.0,กรุงเทพมหานคร,0.0,2.299999952,0.581520244
2021-4D9Y98,{},"เขตลาดพร้าว,การไฟฟ้านครหลวง เขตนวลจันทร์",หน้าปากซอย ลาดพร้าววังหิน26,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-12/ca219e4d42d3d86d8cdd013b044b705ebf8ce26b.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-03/1678795752004.jpeg,"100.59131,13.80910",17/73 17/73 ถ. ลาดพร้าววังหิน แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230 ประเทศไทย,ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,2021-12-13 05:53:36.861064+00:00,เสร็จสิ้น,,0,2023-03-14 12:09:14.947437+00:00,456 days 06:15:38.086373,2021,12,3620.0,10.0,กรุงเทพมหานคร,0.0,2.299999952,0.581520244
2021-7U9RED,{},เขตดุสิต,ยังไม่มีหน่วยงานไหนมาดูแลครับ รถจะเชี่ยวหลายคนแล้ว,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-12/c80ce84f11864604665b35f1a118619f9e601245.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1684303856521.jpeg,"100.50848,13.77832",627 ถนนสามเสน แขวง ดุสิต เขตดุสิต กรุงเทพมหานคร 10300 ประเทศไทย,ดุสิต,ดุสิต,กรุงเทพมหานคร,2021-12-17 08:46:02.610983+00:00,เสร็จสิ้น,5.0,0,2023-05-17 06:11:32.463984+00:00,515 days 21:25:29.853001,2021,12,3620.0,10.0,กรุงเทพมหานคร,0.0,2.299999952,0.581520244
2021-8N9ZP8,{ความสะอาด},"เขตประเวศ,ฝ่ายเทศกิจ เขตประเวศ,ฝ่ายรักษาความสะอาดฯ เขตประเวศ",คนเอาขยะมาทิ้งจนกลายเป็นกองขยะค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-12/58ea35fdc7b20088e2fa2c318253f803081202c3.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/c41f745b0d07f83da5720936cb164a290e42e2a4.jpg,"100.64690,13.67083",110 ซอย มีสุข แขวง หนองบอน เขต ประเวศ กรุงเทพมหานคร 10250 ประเทศไทย,หนองบอน,ประเวศ,กรุงเทพมหานคร,2021-12-18 14:50:52.437512+00:00,เสร็จสิ้น,2.0,0,2024-11-26 04:17:39.760344+00:00,1073 days 13:26:47.322832,2021,12,3620.0,10.0,กรุงเทพมหานคร,0.0,2.299999952,0.581520244
2021-7K6QA3,{},"เขตประเวศ,ฝ่ายเทศกิจ เขตประเวศ",ระยะหลังๆ นี้ พบเจอรถสิบล้อขนดิน ใส่ยางบังโคลนยื่นออกจากตัวรถมากๆ จนดูน่าหวาดเสียวบนท้องถนนครับ อันนี้ไม่ทราบว่าเป็นข้อกำหนดให้รถบรรทุกต้องปฏิบัติตามหรือไม่อย่างไรครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-12/4f591d59e56f7912b03059c9671208634c7f9c8f.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/a10962f6b0d959682a0968833e9a112bd85337bc.jpg,"100.65617,13.72812",208/22 ถ. พัฒนาการ แขวง ประเวศ เขต ประเวศ กรุงเทพมหานคร 10250 ประเทศไทย,ประเวศ,ประเวศ,กรุงเทพมหานคร,2021-12-21 23:03:58.450912+00:00,เสร็จสิ้น,2.0,0,2022-06-24 06:32:34.671236+00:00,184 days 07:28:36.220324,2021,12,3620.0,10.0,กรุงเทพมหานคร,0.0,2.299999952,0.581520244
2021-8BTWZB,{ท่อระบายน้ำ},"เขตประเวศ,ฝ่ายโยธา เขตประเวศ",ขอแจ้งเรื่องท่อระบายน้ำบนถนนในซอยเสียหาย เป็นรูจากการลอกท่อค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-12/199ab68aa08d2eb84bccb005a357356b96bdd3b2.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/628bbe924933296948f3d441c00a1915cbc92b8d.jpg,"100.65440,13.68158",70 ซอย เฉลิมพระเกียรติ ร. 9 แขวง หนองบอน เขต ประเวศ กรุงเทพมหานคร 10250 ประเทศไทย,หนองบอน,ประเวศ,กรุงเทพมหานคร,2021-12-22 10:15:33.294829+00:00,เสร็จสิ้น,5.0,0,2022-06-20 13:12:04.994440+00:00,180 days 02:56:31.699611,2021,12,3620.0,10.0,กรุงเทพมหานคร,0.0,2.299999952,0.581520244
